pIC50,maxaasN,AATS6m,AATS5v,AATS5e,AATS5i,ATSC8c,ATSC5m,ATSC5e,ATSC6p,ATSC8i,ATSC3s,AATSC8c,AATSC4v,AATSC3e,AATSC4p,AATSC2i,MATS4m,MATS5e,MATS8i,MATS5s,GATS5c,GATS5m,GATS5e,GATS5p,GATS6i,GATS5s,VE2_Dze,VR3_Dzp,SpMax5_Bhs,AVP-7,SsOH,nHdsCH,minHBint10,minsF,maxHBint10,ETA_EtaP_F,BIC3,MIC5,ZMIC5,khs.aasN,MDEC-34,MDEO-12,MDEN-23,MLFER_A,piPC2,nF12Ring,GGI3,JGI3,WTPT-4
5.507239611,0.0,79.82914480555559,175.6447770327778,7.341777041666664,156.62291299775887,0.029676667,394.5815816584364,0.2698230370370348,0.3933323607533306,-7.362369359,-3.675134211,0.001413175,-5.256759285,0.00268814,-0.009672367,-0.066763123,0.08118045,0.1103962287069809,-0.207168479,0.1474691020722879,0.6470468875629446,0.8448983202641186,0.583701552,0.8922770014405085,0.9745787522219952,0.5056871224383157,0.006181076,7.365730253321664,2.877775441284617,0.0135293239447664,0.0,1,0.0,0.0,0.0,0.71252,0.8563322173270101,42.714568872201056,24.850683808075186,0,0.0,0.0,0.0,0.6050000000000001,3.701301974112493,0,1.166666666666667,0.058333333,2.5306538277452946
5.576918042,0.0,31.77892926896564,157.20123943822887,7.201584616438355,154.71620082234014,-0.054429587,-1841.636723,-0.41868713,5.469093075821748,23.763247519418933,0.7649888601988558,-0.00068,-12.32243296,-0.001367657,-0.056972736,0.1460663249191888,-0.261500534,-0.164090596,0.1933469406058282,-0.214417948,0.855434881,1.2695925193225326,0.8839737488369787,1.2991991754232448,0.8095673840020435,1.273837087354956,0.0001249879756827,13.834519860652575,3.192753634106088,0.0139526108041714,0.0,3,0.0,0.0,0.0,0.89377,0.7995571959393977,39.16668022056279,24.761685002195293,1,2.136905107283282,0.0,0.0,0.003,4.340553386467307,0,4.097222222222219,0.089070048,0.0
5.244163242,0.0,121.35918968405336,226.87555573736324,8.681232,165.7121563732448,-0.099085037,-524.0651415,-2.820485894,-1.841887554,-36.63899789,-28.8273074,-0.006192815,-0.81284098,-0.029898277,0.001096323,1.2395729852999426,0.082343661,-0.345701012,-0.657480212,-0.212039386,0.6956627358286879,1.5141718603052772,1.3287745195843086,1.087500180703966,0.9926635678664532,1.2260450948514774,0.005572857,10.733544023149648,3.942407352038505,0.00625835,0.0,1,0.0,12.828717271848484,0.0,0.90442,0.8836591668108978,52.86145945644824,29.44849687986781,0,1.4335341404317248,0.5019724248795792,0.0,0.886,3.9219733362813134,0,2.368055555555555,0.09107906,11.13551473778563
7.397940009,0.0,47.98550723,140.94761690875535,7.775885982905988,164.48021832185256,0.8603575369031794,-1463.1953,-7.179505955,3.3820911835059246,-3.635091906,-74.07780265,0.001731102,-1.603572568,-0.009752488,-0.003814566,-0.213396893,0.004950868,-0.134059787,-0.005857162,-0.128244208,1.2113807072608824,1.093229195702367,1.209966034298922,0.9516342361550096,0.9690344534588466,1.163720723894849,0.00528808,53.80100645593433,4.423422189637583,0.011573959,118.1209222029814,14,0.5853697949960747,0.0,5.100362226860407,1.04483,0.8185266898846415,46.27281629,31.086543038034677,0,3.1668345496883927,6.101611214161228,0.0,2.172,4.709530201312334,0,6.625,0.064320388,44.79900391267597
5.020451625,0.0,72.04398988188979,180.6818525,8.362389834710749,160.2258648485961,0.1601438237202621,759.7679260205537,3.371899023796644,2.7280923755058204,-22.03476003,-86.25583324,0.001685724,-5.419644318,-0.047969856,-0.025389655,-0.195716713,-0.071003464,0.1659028637507148,-0.174276348,0.064012101,0.9272513277583676,0.9288779183274016,0.8169420415252999,1.2131112308226777,0.8752973585227719,0.8662111824922031,0.0068946,13.517672820633244,3.812192850735377,0.007723555,0.0,0,0.0,0.0,0.0,0.79142,0.6847677692818681,43.68815850252575,30.033129628665343,0,0.0,4.234751004589467,0.0,0.003,3.737669618283368,0,1.6875,0.049632353,24.59588373446024
5.138465589,0.0,67.43745127272723,164.07506271860134,7.815722500000002,163.64131769422198,-0.018371516,393.5393331455583,0.4097497032136104,-3.005559386,1.8352505578576277,-5.546168425,-0.001670138,-4.500528105,-0.011148042,-0.030896905,-0.047315972,-0.100220519,0.127324926340925,0.1024968316743009,0.205921176461938,0.7957832361838887,0.6193757469834643,1.0536143428481757,0.5627659111233936,1.3660249707656995,0.9201102027416084,0.005390856,6.478022587883176,2.9150858938492683,0.009515986,0.0,2,0.0,0.0,0.0,0.95636,0.8186914481187346,37.98869056125655,25.09253300720519,0,0.0,0.0,0.0,0.022,3.701301974112493,0,1.0,0.055555556,4.928800041486002
4.980468315,0.0,37.49639748108101,141.11590750606985,7.333728269,160.82486410623738,0.1141925730142548,-388.2483646,-0.854626008,2.319548201291276,-0.3309558,2.9861685032139413,0.000407830617908,-4.11796261,-0.000577,-0.017886796,0.3427669601150581,-0.070653305,-0.035902034,-0.000875,-0.04206473,0.9076373383320576,1.002658159634635,0.9596791063472396,1.0437979044641943,0.9218800483181124,0.9267369171705924,0.001395199,22.028267261992937,4.033385791037764,0.0122035234291826,10.488644262410393,2,0.0,0.0,0.0,0.70417,0.7785238299235597,38.586317094260295,27.12988533732544,0,14.76948297631897,0.0,0.0,0.591,4.442651256490317,0,6.8125,0.075694444,9.999725156434508
5.97061622,0.0,54.47235534693879,138.3295394454125,7.417769416666668,162.5841088,-0.127219032,316.0627855000008,0.7959582890624991,4.662610847,9.988077300119288,-2.451356739,-0.003347869,2.9676266995862983,-0.005294186,0.00561051,0.1778295903954442,0.061679722,0.1572932853968165,0.1712998592606335,0.1891266264678242,0.7067902543464327,0.6671423987385693,0.726287163,0.7470756309544719,0.7889023589607173,0.651309869,0.002575944,9.067448520387332,3.297655620168493,0.0108634872370068,0.0,2,0.0,0.0,0.0,0.90675,0.7088348981125387,34.48783441999665,29.4265031201322,0,0.9999999999999998,0.0,0.0,0.022,3.8394523125933104,0,1.5,0.0625,4.935744485930447
5.23284413,0.0,58.17972606666674,174.78420881276375,7.826848434108532,161.63276119720575,0.096241209,518.6622519672493,1.801682139551428,0.526931424,-3.130495266,-6.563229303,0.0007403169928202,6.445722719084023,0.0101910731847632,0.025492413875616,-0.362024007,0.092244675,0.151299403733531,-0.013334718,0.2223570466204177,1.6139101116844403,0.9003004565185663,1.108522904126275,1.2502030636684474,0.9410305039480116,1.06455524318382,0.007080983,16.962428551870122,3.881295051482328,0.008611864,19.15309159241699,0,0.0,0.0,0.0,0.96194,0.8470801559814012,39.56538926565853,26.90971543699737,0,0.0,0.0,0.0,0.584,4.094344562,0,1.625,0.042763158,9.943355477411458
4.301029996,0.0,70.94883315652001,177.67750911805257,7.926732851063828,172.3386967662213,-0.221430212,-236.2970519,-0.618148444,0.3651898224741972,-9.219097751,-12.97668038,-0.008201119,-7.375918371,-0.018654776,-0.026125429,-0.153747986,-0.092283771,-0.12921348,-0.131332359,-0.044689009,1.2811407033487774,1.1513402834960271,0.8320545772703672,0.761203691,0.988821161,0.5730998272064547,0.0114977310653828,8.562512040354465,3.278113826849342,0.004294796,0.0,0,0.0,12.79461908453566,0.0,0.99782,0.8558654609107682,41.94726745768364,23.82200093730417,0,0.0,0.0,0.0,0.528,4.038655656361512,0,1.2847222222222223,0.049412393,0.0
4.835349784,0.0,54.31082580844242,155.3921561592521,7.901355595667832,166.08429327512272,0.7000367534408535,1345.5992868853411,9.282976470743987,-1.506426827,-8.294466216,-30.28903377,0.0009434457593542,2.6898842876402744,0.005467728,0.001818947,-0.201292866,0.07940631,0.1692485852100725,-0.00849562,0.187232908732565,1.0262598037778268,0.9660177095319278,0.9734444317884916,1.0049535519261803,1.0511115822243873,1.0077127738169045,0.0136504006210876,61.062949104312544,5.152351953984849,0.0104330432286102,89.38804458422214,0,0.1992672966433176,0.0,6.881746540491863,1.25419,0.8357341465696269,46.8921867,34.432013929799155,0,0.0,0.0,2.257030295717221,1.202000000000001,4.901564199041894,0,6.847222222222221,0.054343034,38.17227502397832
4.301029996,0.0,50.86496072357727,193.50790708214345,7.669496063492066,154.41711668396192,-0.030168532,-829.1333307,-0.435865901,-5.174769279,-13.36497523,3.502252640036734,-0.000377,-9.400405696,0.003134784,-0.042438701,0.5978885893967762,-0.152390225,-0.039162384,-0.116440464,-0.130899433,0.915527055563294,1.123646537027618,0.8904475317158717,1.1254395834831588,1.118402230727773,0.9965547079394268,0.0002101295188913,19.76661587710362,3.2693340462614446,0.00685154,0.0,0,0.0,0.0,0.0,1.05801,0.7944195935981312,42.82193096632186,24.12433252417956,1,0.0,0.0,0.0,0.003,4.483002552013883,0,2.256944444444444,0.044253813,11.82505131561858
5.012333735,0.0,124.59100544752692,230.90110415092695,7.803608427184472,154.99280979229803,-0.148450996,2672.1081857264785,-0.226934271,-7.379381303,9.983709639,-5.732954954,-0.001746482,0.825208955,-0.008152563,0.1594829148247216,-0.023686397,0.1694216961629009,-0.028945477,0.075370066,-0.123203904,1.1188240309386035,0.6370325470174588,1.0668455441990268,0.8093244970392082,0.9494073038296372,1.434007850400348,0.0001317438703289,17.069602002812324,3.7768081907962494,0.008537671,10.390802871440435,0,0.3092179804987062,0.0,0.3092179804987062,1.08965,0.8902388658416808,81.42111291921869,40.72964457626461,0,0.0,0.0,0.0,0.2020000000000001,4.424846632,0,2.75,0.053921569,5.092437295351321
5.132532512,0.0,127.17689609844444,239.1523450692552,7.810888693877557,153.6579198953352,-0.145175743,2375.799867147135,-0.062965431,-4.448809087,13.213047249818834,-6.7028831,-0.001792293,4.118790489436364,-0.008551064,0.203661474242548,-0.02626707,0.1960137730951755,-0.008352493,0.1049319410948971,-0.109960252,1.032781776842456,0.6547327428895418,1.0108392869941374,0.837981245,0.9292723724308803,1.3020256586122787,0.0001317438703288,17.069602002812328,3.7768098733075504,0.00809545,0.0,0,0.3155791017178915,0.0,0.3155791017178915,1.08965,0.8794336000674039,82.11880655413655,42.24765598546831,0,0.0,0.0,0.0,0.011,4.424846632,0,2.75,0.053921569,5.092437295351322
7.26760624,2.234506172839506,61.83745695757576,249.4552150308032,7.536784533333334,147.47628100486756,0.0009732118579104,-316.9920541,-0.333002566,-9.465722626,20.496728774680403,-0.9418846,1.3516831359866844e-05,5.197299150258179,0.0001335415451895,0.0204152828520666,0.0106112841580528,0.053105231,-0.078931317,0.1915381673659544,0.0508598714528369,0.9800198894568088,0.9672880106563568,1.084279303893826,0.9807507458524116,1.10545424286717,0.8529203196249954,0.0005528631276564,15.156311824160902,2.9919410159399757,0.007265401,0.0,0,0.0,0.0,0.0,1.14449,0.6620977117827789,35.333447128026975,42.24119427482791,1,3.3635856610148585,0.0,0.4999999999999999,0.003,4.300680995219929,0,2.777777777777778,0.063131313,0.0
5.9076303,0.0,46.82622056302521,160.16417083959044,7.904734008,166.6067107714013,0.2064072952516024,-1167.343435,1.6874271796133806,-19.11600265,45.09040087291109,-13.73563171,0.0002029570258127,3.419888503162513,0.009187121,0.005053575,0.034788565,0.070814555,0.03150067,0.033896019,0.1208792769223726,1.5062072034161118,1.169348702579153,1.450453232271773,0.9299719551631592,1.1418097155485958,1.3315789148555044,0.001519167,63.325601955675566,4.865103724097853,0.0101043183641175,12.08877684924342,2,-0.655001322,0.0,0.0,1.32703,0.6478135097658396,40.63944434500151,59.95483093412022,0,0.0,0.0,3.677055386613141,0.9810000000000002,4.983606621708336,0,9.625,0.064166667,30.33376522092972
4.746177561,0.0,97.14348018843464,206.30923163039247,7.949897954198478,159.13870120588092,0.2217142689117621,665.9061699731188,0.6964322692043823,1.855212387488589,-16.40508926,-8.85235176,0.001863145,-4.213412129,-0.007728659,-0.02532125,0.090275497,0.010613628923244,0.0594808860885281,-0.068751237,0.0237044696613154,1.1049914963943843,0.9493248302989264,1.0506504084215835,1.062915704050727,0.974884050615104,1.2163564973087706,0.006105807,21.19025153963784,3.8435883093844367,0.0064611,0.0,1,1.0892649864493402,14.722325743912767,1.532982962360311,1.18387,0.8746103866867886,53.55775362741973,29.57181991870552,0,0.0,0.0,0.7598356856515924,-0.066,4.4942386252808095,0,2.6875,0.0471491228070175,5.148034333078169
5.829738285,0.0,104.0049365250001,188.50288661668588,7.769040461538461,159.05210676013937,-0.018577471,420.2323073827154,1.1716016790123442,0.1144208056627783,3.006451192133203,-2.816208614,-0.000774,-3.878763224,-0.015984165,0.0101062935437555,-0.185323098,-0.078109933,0.2143817955490835,0.097079724,0.089938926,0.7428291710193277,0.964907577,0.6980377609033717,1.0429649278713504,1.0375861870112677,0.7307007935682449,5.551115123125783e-17,24.66477695739185,3.0080611040179,0.009944802,19.60647179,0,0.0,0.0,0.0,0.89679,0.7453468767289451,37.71598415939327,37.77109724,0,0.0,0.0,0.0,1.441,3.8501476017100575,0,1.125,0.046875,5.087511812001283
4.301029996,0.0,46.78629998816589,138.89085696691126,7.336502171875017,164.27365704839767,-0.054896632,801.2786873629623,-0.062672388,-2.081188839,4.489070276594714,2.733982387248021,-0.000638,-3.41396907,-0.002656319,-0.02173199,-0.087980814,-0.022478821,-0.006264098,0.0283293268972645,-0.021845628,1.1859189769095888,0.616769324,0.7085867545761185,0.757753037,0.944411317,0.7240795017084182,0.002149332,12.916484632410793,3.558959095306165,0.015387335818083,10.42692717429394,0,0.0,12.971876512339596,0.0,0.74217,0.7914860299589627,38.46938658679056,27.455562911550995,0,0.0,0.0,0.0,0.259,4.007333185232471,0,1.0,0.0303030303030303,2.5648442152100848
5.046723663,1.3608390022675736,75.48442974,182.2142017457512,8.263005682,171.74914155466234,-0.01630823,-394.7177289,-1.199671142,0.0252353189135554,-2.821635086,-45.02891917,-0.000379,1.3659488656554692,-0.027038018,-0.006917335,0.034869027,0.1405172861710439,-0.094102846,-0.023010013,-0.167791248,1.109209582446086,1.1028630705988642,1.084911102272067,0.9626881771761576,0.9105852700664148,1.1500171370318075,0.00322582,35.86092631737207,3.951140153726815,0.006075801,10.95825774754346,0,0.0,13.11356072058453,0.0,1.06413,0.7917961540429335,40.15237394464741,33.03206441441441,2,1.5000000000000004,0.0,2.874432895704674,0.348,4.094344562,0,2.2569444444444446,0.075231481,2.5917238789799173
4.582777496,0.0,59.90419353191463,155.11256070382677,7.519531975757585,164.24147811913974,-0.089388432,377.5193266983776,1.4520154760842054,-4.558653385,-40.92683339,24.134259696677017,-0.000733,-2.744870813,-0.000634,-0.015283214,0.6783531579469286,-0.0649566,0.073364961,-0.126804921,0.0185306065738484,0.7466059837563758,0.8746141856836699,0.598265159,0.9216516768831684,0.9822882100183444,0.6079846511906015,0.0176826620291068,17.024113700855608,3.994082877933241,0.0121192288094135,9.073230941021276,0,1.1949136313249116,13.33482148657265,1.1949136313249116,0.83976,0.807872171,41.50491520004051,32.584368727835454,0,1.540669567683089,0.0,0.0,0.259,4.219507705176107,0,1.75,0.035714286,2.440537954007308
4.72873939,0.0,45.55046979479534,145.14229837444472,7.347529450549461,163.01171390376714,-0.177157411,634.9364284,-0.145387372,1.2622700754747984,-25.32687797,0.9583826429980338,-0.001100357,-4.054386846,-0.003545316,-0.021980172,-0.077418852,-0.049365957,-0.010133545,-0.075210572,0.0178355420306124,1.2432528499332862,0.8478328881555016,0.6903388847307775,0.8691131933077781,0.835476319,0.3545354382240873,0.011668549,19.19336029688448,3.636371264590015,0.0122727761038212,0.0,0,0.0,13.39491873018184,0.0,0.90007,0.7191136979588694,36.45001356777883,35.11420616725016,0,0.0,0.0,0.0,0.003,4.324132656254979,0,1.1875,0.0258152173913043,3.131546855072977
4.520568663,0.0,39.40875779,143.3940543502543,7.305041890109901,162.5384896496232,-0.059376779,327.4919230030784,-0.35652672,1.240391509764303,-19.27777743,1.1522024983563477,-0.000369,-3.652476351,0.001045799,-0.022287022,0.044365968,-0.026765666,-0.06879013,-0.084013308,0.0196378871876428,1.2989604395165313,0.9583659394209048,1.6167682832217354,0.8761492695832731,0.975730148,1.202691652725786,0.010559819403167,17.815777039948404,3.3877453105353528,0.0138250267546281,0.0,0,0.0,0.0,0.0,0.82425,0.6852982134410506,33.627135933265144,32.854345224614974,0,0.0,0.0,0.0,0.003,4.241326752570746,0,1.0625,0.025297619047619,3.1294412383108248
4.397940009,0.0,0.0,31.083744430930263,6.718464,184.91765202424895,0.0,55.38501779012343,0.1507164938271601,0.0,0.0,-0.668038409,0.0,5.730431853462511,0.007578999,0.050084483,-0.506218786,-0.24885099,0.6538627492148089,0.0,0.6069221967963389,0.0008285312797681,0.0,0.0,0.0,0.0,0.0,0.027265444,1.468483524900355,0.6315789473684208,0.0,15.016203703703702,0,0.0,0.0,0.0,0.51077,0.9298966940476155,0.4859788297813774,0.9644111117521388,0,0.0,0.0,0.0,0.6859999999999999,1.9459101490553128,0,0.0,0.0,6.955220308284977
4.301029996,0.0,51.26728982666668,178.77996479907534,7.6416411,155.38474493303863,0.091270444,-290.7007006,-0.575579302,3.7608403699042254,17.826722432359837,2.8727877808556466,0.001629829,-3.746787429,0.003361873,-0.008665941,0.1973422916111028,-0.113391718,-0.075080825,0.2327770828980004,-0.073517432,0.8705664961316407,1.0622850630221536,0.958200886,1.148736643600982,0.7556110016067107,1.1989386159516235,0.00321613,12.47786292373278,3.397533180523338,0.006442203,9.81046059938872,1,0.0,0.0,0.0,0.97622,0.8477250082054143,40.587815710694805,22.62153558611655,0,0.0,0.785629302,0.0,0.295,4.110873864173311,0,1.625,0.045138889,11.03863426566372
